2023_accounting_&_finance,2022_accounting_&_finance,Institution,Location,Academic_accounting_&_finance,Employer_accounting_&_finance,Citations_accounting_&_finance,H_accounting_&_finance,Score_accounting_&_finance,2023_business_&_management,2022_business_&_management,Academic_business_&_management,Employer_business_&_management,Citations_business_&_management,H_business_&_management,Score_business_&_management,2023_communication_&_media,2022_communication_&_media,Academic_communication_&_media,Employer_communication_&_media,Citations_communication_&_media,H_communication_&_media,Score_communication_&_media,2023_computer_science,2022_computer_science,Academic_computer_science,Employer_computer_science,Citations_computer_science,H_computer_science,Score_computer_science,2023_development_studies,2022_development_studies,Academic_development_studies,Employer_development_studies,Citations_development_studies,H_development_studies,Score_development_studies,2023_economics_&_econometrics,2022_economics_&_econometrics,Academic_economics_&_econometrics,Employer_economics_&_econometrics,Citations_economics_&_econometrics,H_economics_&_econometrics,Score_economics_&_econometrics,2023_mathematics,2022_mathematics,Academic_mathematics,Employer_mathematics,Citations_mathematics,H_mathematics,Score_mathematics,2023_social_sciences,2022_social_sciences,Academic_social_sciences,Employer_social_sciences,Citations_social_sciences,H_social_sciences,Score_social_sciences,2023_statistics_&_operational_research,2022_statistics_&_operational_research,Academic_statistics_&_operational_research,Employer_statistics_&_operational_research,Citations_statistics_&_operational_research,H_statistics_&_operational_research,Score_statistics_&_operational_research
,,AGH University of Science and Technology,Poland,,,,,,,,,,,,,,,,,,,,501.0,551.0,45.4,49.8,65.8,62.5,,,,,,,,,,,,,,,,401.0,501.0,48.9,50.9,71.7,67.1,,,,,,,,,,,,,,,
,,Aalborg University,Denmark,,,,,,351.0,301.0,52.6,52.3,69.7,85.4,,201.0,151.0,57.9,66.0,86.0,74.4,,151.0,151.0,54.0,55.8,81.1,82.8,,,,,,,,,401.0,401.0,45.2,55.1,65.7,58.3,,251.0,351.0,52.2,53.9,78.1,70.3,,401.0,310.0,58.3,54.2,80.9,68.4,,,,,,,,
151.0,101.0,Aalto University,Finland,67.7,54.5,70.5,73.4,,76.0,74.0,75.3,56.3,80.7,99.1,72.5,101.0,101.0,69.1,66.1,83.7,68.0,,84.0,84.0,67.2,57.6,83.6,81.3,69.4,,,,,,,,151.0,151.0,60.4,56.8,77.1,67.0,66.4,151.0,201.0,55.7,60.2,84.6,81.6,,206.0,179.0,70.0,54.0,90.4,79.0,67.1,,,,,,,
201.0,151.0,Aarhus University,Denmark,62.4,57.2,73.4,69.9,,201.0,201.0,60.3,56.2,74.6,91.4,,47.0,36.0,79.3,69.4,84.9,78.8,79.3,140.0,107.0,65.3,58.5,78.0,70.6,65.9,,,,,,,,128.0,121.0,65.9,57.8,74.2,70.8,66.9,251.0,251.0,57.1,53.5,82.3,72.7,,164.0,122.0,71.4,56.9,83.4,75.8,68.8,101.0,101.0,67.7,62.2,81.6,79.4,
,,Abu Dhabi University,United Arab Emirates,,,,,,251.0,501.0,53.0,64.6,78.1,80.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.0,,55.5,67.2,66.5,60.7,,,,,,,,
201.0,,Ahlia University,Bahrain,68.3,49.3,52.3,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ain Shams University ,Egypt,,,,,,551.0,,40.7,62.3,64.5,65.0,,,,,,,,,351.0,351.0,45.0,66.5,67.5,59.0,,,,,,,,,,,,,,,,,,,,,,,501.0,501.0,55.0,64.7,63.5,46.1,,,,,,,,
101.0,201.0,Airlangga University,Indonesia,65.7,73.6,59.0,69.9,,251.0,301.0,56.6,66.9,57.8,68.5,,,,,,,,,,,,,,,,,,,,,,,201.0,251.0,67.2,72.9,51.0,48.8,,,,,,,,,244.0,232.0,69.1,73.9,54.4,50.4,65.8,,,,,,,
,,Aix-Marseille University,France,,,,,,,,,,,,,,,,,,,,501.0,601.0,45.9,46.7,68.4,61.4,,,,,,,,,201.0,201.0,61.5,43.1,72.5,68.0,,201.0,201.0,65.1,48.2,76.8,78.8,,401.0,401.0,64.3,45.2,76.0,73.4,,,,,,,,
,,Ajman University,United Arab Emirates,,,,,,,,,,,,,,,,,,,,501.0,,56.9,64.7,34.2,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
