2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
1;1;Harvard University;United States;100;100;95,2;96,8;99,2
2=;3;Massachusetts Institute of Technology (MIT) ;United States;96,2;94,5;91,2;91,5;94,7
2=;2;Stanford University;United States;96,5;93,6;91,9;92,1;94,7
4;4;University of Oxford;United Kingdom;92,2;96,6;82,7;90,3;92,4
5;5;University of Chicago;United States;95,8;79,5;100;100;91,8
6;6;University of Cambridge;United Kingdom;90,7;95,7;80,7;79,3;90,1
7;7;The London School of Economics and Political Science (LSE);United Kingdom;93,1;85,5;84,2;92,6;89,9
8;8;University of Pennsylvania;United States;92,6;79,4;94;97,3;89,3
9;9;University of California, Berkeley (UCB);United States;89,6;85,9;90,9;91,5;88,8
10;10;New York University (NYU);United States;90,6;80,8;91,2;96,3;88,3
11;12;Columbia University;United States;88,5;82,3;89,2;96,3;87,5
12;11;London Business School;United Kingdom;90,9;80,1;90,5;87,1;87,2
13;14;Yale University;United States;86,9;86,9;87,8;79,3;86,2
14;13;National University of Singapore (NUS);Singapore;86,9;83,9;79,8;87,7;85,4
15;16=;University of Toronto;Canada;85,4;81,7;88,7;92,1;85,3
16;16=;University of California, Los Angeles (UCLA);United States;86,3;85;82,2;81,9;85,1
17;15;Università Commerciale Luigi Bocconi;Italy;85,8;81,1;88,3;88,4;84,9
18;19;HEC Paris;France;85,8;79,3;84,3;86,4;83,8
19=;23;Imperial College London;United Kingdom;81,2;84,3;86,7;81;82,7
19=;18;The University of Manchester;United Kingdom;80,5;80,4;88,7;94,8;82,7
21=;22;Nanyang Technological University, Singapore (NTU);Singapore;83,8;81;81,4;81;82,4
21=;20;The University of New South Wales (UNSW Sydney);Australia;83,3;77,9;80,7;92,6;82,4
23;21;The University of Melbourne;Australia;83;79,2;81,1;89;82,3
24;30;Peking University;China (Mainland);83,9;78,2;79,5;85;81,9
25;28;Princeton University;United States;83,1;82;78;75,5;81,5
26;31;University of Michigan-Ann Arbor;United States;82,4;74,8;88,2;87,7;81,2
27=;32;Cornell University;United States;78,1;79;90,3;92,1;81
27=;29;Tsinghua University;China (Mainland);82,1;78,3;81,5;83,4;81
29=;33;Northwestern University;United States;82,5;72,3;90,7;87,7;80,8
29=;34=;University of British Columbia;Canada;81,8;79,8;81,5;78,4;80,8
31;25=;INSEAD (France);France;84,8;80,4;68,6;69,9;80,4
32=;27;The University of Hong Kong;Hong Kong SAR;81,6;71,9;86,9;92,1;80,3
32=;37;University of Texas at Austin;United States;81,4;73;88;89;80,3
34;25=;The Hong Kong University of Science and Technology;Hong Kong SAR;86,5;68,9;83,7;78,4;80,1
35;24;The University of Sydney;Australia;80;76,2;81,4;89;79,9
36=;38=;Duke University;United States;79,7;72,8;92,1;86,4;79,5
36=;34=;Monash University;Australia;79,5;74,8;79,8;93,7;79,5
38;36;The University of Warwick;United Kingdom;78,9;75,4;84,4;87,7;79,3
39;48;Shanghai Jiao Tong University;China (Mainland);75,8;78,1;82,7;87,1;78,3
40;38=;Erasmus University Rotterdam ;Netherlands;78,9;70,7;82,9;89,7;77,9
41=;46=;Seoul National University;South Korea;80,4;78,5;68,8;71,1;77,7
41=;41=;The University of Tokyo;Japan;78,7;82,8;64,8;69,9;77,7
43;41=;ETH Zurich - Swiss Federal Institute of Technology;Switzerland;74,1;79,9;82,3;79,3;77,2
44;41=;The Australian National University;Australia;77,1;73,9;77,3;84,2;76,9
45;40;The Chinese University of Hong Kong (CUHK);Hong Kong SAR;81,3;65,7;83,6;81;76,8
46=;44;The University of Edinburgh;United Kingdom;72,8;78,4;79,7;85,7;76,5
46=;51;University of Southern California;United States;75,1;66,8;92,9;95,8;76,5
48;62=;Fudan University;China (Mainland);75,8;77,8;76;75,5;76,4
49=;49=;Singapore Management University;Singapore;77,6;64;89,7;90,3;76
49=;45;Tilburg University;Netherlands;79;63,4;85,6;89;76
51=;55;UCL;United Kingdom;72,4;79,9;79,1;78,4;75,9
51=;57=;University of Illinois at Urbana-Champaign;United States;76,5;67,8;86,9;86,4;75,9
53;52;University of Navarra;Spain;73,9;76,7;79,5;78,4;75,8
54;49=;University of Amsterdam;Netherlands;76,6;69,8;82,7;81;75,6
55;67;McGill University;Canada;75,4;77,4;72,6;71,1;75,3
56;46=;The University of Auckland;New Zealand;74,3;68,9;84,3;89,7;75,2
57;62=;Copenhagen Business School;Denmark;79,1;58,6;88,6;87,1;74,7
58;66;University of Washington;United States;73,8;66,1;89,3;89,7;74,6
59=;59=;Korea University;South Korea;77,3;74,8;65,2;68,6;74,5
59=;53;The University of Queensland;Australia;74;70,9;78,4;84,2;74,5
