University,School,Country,Number,Continent,2023 Max,2023 Min,2022 Max,2022 Min,2021 Max,2021 Min,2020 Max,2020 Min
HEC Paris ,,France,166,Europe,35.696,35.089,35.785,35.168,36.032,35.033,36.202,35.696
London School of Economics and Political Science,Department of Management,United Kingdom,1754,Europe,35.527,35.089,35.999,35.097,35.336,34.056,35.864,35.482
University College London,School of Management,United Kingdom,1591,Europe,35.381,34.954,34.876,34.381,33.977,33.977,,
IE University ,,Spain,1451,Europe,35.718,34.449,35.336,34.269,34.842,34.482,,
École Polytechnique,Bachelor of Science,France,1831,Europe,35.729,34.323,36.312,33.587,32.707,32.100,,
Université Paris 1 Panthéon-Sorbonne,Département d'Economie,France,1545,Europe,35.674,34.29,33.389,33.301,33.494,32.048,34.763,34.763
Erasmus Universiteit,"Erasmus School of History, Culture and Communication",The Netherlands,1469,Europe,34.248,34.215,33.963,32.818,34.119,33.227,33.661,33.661
University of Glasgow,"Adam Smith Business School, Economics",United Kingdom,248,Europe,34.202,34.202,30.066,27.793,32.238,30.056,,
Universitat Pompeu Fabra,Faculty of Economics and Business Sciences,Spain,608,Europe,35.477,33.966,35.550,33.307,35.658,33.404,36.15,34.752
IÉSEG School of Management ,,France,1540,Europe,34.818,33.831,35.303,33.999,34.719,34.387,34.842,34.473
Universidade Nova de Lisboa,School of Business & Economics,Portugal,863,Europe,34.55,33.828,34.235,32.270,34.909,32.238,34.741,34.345
King's College London,School of Management & Business,United Kingdom,1701,Europe,34.685,33.775,34.662,33.807,34.482,33.295,36.044,35.043
Sciences Po,Collège Universitaire,France,349,Europe,35.468,33.731,34.561,33.488,34.444,33.123,35.202,34.96
City,"University of London, Bayes Business School",United Kingdom,870,Europe,34.613,33.718,35.033,33.966,35.426,34.134,36.258,35.1
Universität St. Gallen ,,Switzerland,89,Europe,34.168,33.718,35.076,33.505,34.673,34.055,35.892,35.892
Erasmus Universiteit,Rotterdam School of Management,The Netherlands,275,Europe,34.584,33.673,34.471,33.876,33.943,33.250,35.247,35.145
Universitat Ramon Llull,ESADE Business School,Spain,1211,Europe,34.786,33.657,34.864,33.786,34.893,33.721,35.666,35.1
ESSEC Business School,BBA,France,737,Europe,34.977,33.651,35.022,34.089,35.011,33.666,35.471,34.999
Universiteit van Amsterdam,Faculty of Economics and Business,The Netherlands,268,Europe,34.617,33.572,35.354,33.730,34.860,34.123,34.707,34.415
Universidade Católica Portuguesa,Católica Lisbon School of Business & Economics,Portugal,249,Europe,33.721,33.516,34.672,33.550,34.494,33.667,35.584,34.946
WU - Wirtschaftsuniversität Wien ,,Austria,129,Europe,36.134,33.413,35.366,32.640,30.648,30.648,32.211,32.211
Trinity College Dublin,Trinity Business School,Ireland,1758,Europe,34.226,33.348,34.850,33.660,32.999,32.725,35.1,34.853
University College London,Department of Economics,United Kingdom,1495,Europe,35.081,33.323,35.037,33.510,34.532,32.011,34.949,34.949
Universidad Carlos III de Madrid,"Facultad de Ciencias Sociales y Jurídicas, Administración de Empresas",Spain,300,Europe,33.872,33.269,33.775,33.100,33.673,33.100,35.1,34.561
Queen Mary University of London,School of Business and Management,United Kingdom,739,Europe,33.449,33.247,33.044,31.303,34.853,34.539,35.033,35.033
University of Glasgow,"Adam Smith Business School, Accounting & Finance",United Kingdom,1700,Europe,33.65,33.149,33.209,31.954,33.190,33.325,,
Universidad de Navarra,Facultad de Ciencias Económicas y Empresariales,Spain,367,Europe,34.043,33.084,33.494,32.571,34.238,32.871,34.775,33.688
Stockholm School of Economics ,,Sweden,1054,Europe,35.348,33.002,34.280,31.215,34.640,32.159,35.033,33.632
Universität Zürich,"Faculty of Business, Economics and Informatics",Switzerland,1694,Europe,33.135,32.988,33.898,33.202,33.494,33.190,34.269,34.269
Université Toulouse 1 Capitole,Toulouse School of Economics,France,1692,Europe,33.026,32.988,32.938,32.648,32.762,32.762,35.949,35.949
