2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
1;;University of Pennsylvania;United States;100;85,8;86,4;80,6;92,4
2;;Stanford University;United States;95;99,6;71,7;66,3;91,2
3;;Massachusetts Institute of Technology (MIT) ;United States;93,1;100;70,2;71,3;90,7
4;;University of Cambridge;United Kingdom;88,9;98,4;82,2;81,2;90,3
5;;Northwestern University;United States;97;82,1;84,7;83,6;90
6;;HEC Paris;France;96,6;86,4;67,3;64;87,4
7;;Columbia University;United States;88,7;87,9;81,4;80,6;86,9
8;;Universitˆ Commerciale Luigi Bocconi;Italy;93,8;78,5;81;80,6;86,6
9;;National University of Singapore (NUS);Singapore;86,9;90,6;78,2;78,5;86,3
10;;London Business School;United Kingdom;97,5;85;55,5;61,4;85,9
11;;University of California, Berkeley (UCB);United States;88,2;90,5;74,1;66,3;85,3
12;;Erasmus University Rotterdam ;Netherlands;93,1;72,6;83,5;83;85
13;;University of Toronto;Canada;81,3;94,5;74,6;76,3;84,1
14;;Duke University;United States;86,1;86,2;78,9;72,2;84
15;;The London School of Economics and Political Science (LSE);United Kingdom;88,7;86,3;67,1;68,4;83,8
16;;Nanyang Technological University, Singapore (NTU);Singapore;83,5;89,1;77,2;74,8;83,7
17;;The University of Melbourne;Australia;82,4;84,5;83,6;82,4;83,2
18;;University of British Columbia;Canada;82,3;89,7;76;73,1;83
19;;New York University (NYU);United States;88,5;77,5;79,6;73,9;82,9
20;;Tecnol—gico de Monterrey;Mexico;82;87,3;77,8;77,1;82,7
