2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
1;1;University of Amsterdam;Netherlands;100;78,2;96,9;100;97,2
2;2;University of Southern California;United States;96,9;71,4;94,7;90,7;92,7
3;3;The London School of Economics and Political Science (LSE);United Kingdom;89,9;91,9;98,1;89,9;91,7
4;6;Stanford University;United States;91,1;99,3;95,3;81,8;90,9
5;4;University of Texas at Austin;United States;92,7;76,9;90;92,9;90,6
6;5;Nanyang Technological University, Singapore (NTU);Singapore;87,2;86,8;97,3;91,1;90
7;7;University of Pennsylvania;United States;87,6;84,3;92,5;90,7;88,9
8;8;University of Wisconsin-Madison;United States;90,3;69,7;91,2;90,3;88,4
9;9=;Michigan State University;United States;86,2;74,4;92,6;90,7;87,2
10;9=;New York University (NYU);United States;87,8;88,3;89,5;80,6;86,8
11;12;Goldsmiths, University of London;United Kingdom;91,9;63,7;89,5;79,4;86,1
12=;11;University of California, Berkeley (UCB);United States;88,9;91,5;86,2;74,4;85,7
12=;14;University of Michigan-Ann Arbor;United States;83,3;80;91,7;88,7;85,7
14=;18;Massachusetts Institute of Technology (MIT) ;United States;78,9;100;100;79,4;85,3
14=;19;University of Vienna;Austria;81,1;66;96,7;94,2;85,3
16=;24;Columbia University;United States;87,8;88,9;82,4;78,8;85
16=;16=;Northwestern University;United States;81,8;76,4;94,3;88,2;85
18;21;University of California, Los Angeles (UCLA);United States;87,8;91,5;83,1;76;84,9
19;15;Queensland University of Technology (QUT);Australia;83,1;69,2;95,7;86;84,8
20;13;The Chinese University of Hong Kong (CUHK);Hong Kong SAR;85;69,8;91;85;84,7
21;16=;University of Zurich;Switzerland;78,4;65,9;99,6;94,2;84,6
22;20;Ludwig-Maximilians-Universität München;Germany;78,7;75,2;94,4;90,7;83,9
23=;26=;National University of Singapore (NUS);Singapore;84,3;90,3;83,7;78,8;83,7
23=;22=;University of Leeds;United Kingdom;83,8;77;87,8;82,9;83,7
25;32=;Pennsylvania State University;United States;81,1;76;88,5;87,8;83,4
26;29;King's College London;United Kingdom;83,4;82,1;84,4;81,8;83,2
27=;30=;The Ohio State University;United States;79,9;71,5;92,8;87,4;83,1
27=;34;Yale University;United States;85,3;93,2;82,9;72,8;83,1
29=;22=;Cardiff University;United Kingdom;81,5;67,5;90,3;85,5;82,7
29=;25;University of California, Santa Barbara (UCSB);United States;84;61,8;90,7;81,8;82,7
31;32=;University of Illinois at Urbana-Champaign;United States;80,7;70,6;88,5;86;82,3
32;30=;University of Copenhagen;Denmark;79,4;73,7;90,6;85;82,2
33;35;University of Toronto;Canada;79;87,7;83,5;85;82
34;26=;Cornell University;United States;76,1;85,1;91,1;85,5;81,9
35;28;The University of Sydney;Australia;77,8;83;84,2;85,5;81,1
36;44=;UCL;United Kingdom;75,7;86,1;87,7;84;80,8
37;40=;Seoul National University;South Korea;83,8;83,2;80,4;71;80,5
38;51-100;Tsinghua University;China (Mainland);80,7;85,1;84,8;72,8;80,4
39;40=;Freie Universitaet Berlin;Germany;84,2;70,2;83,1;72,8;80,3
40=;38;The University of Melbourne;Australia;76,5;86,5;82,2;84,5;80,2
40=;44=;University of Washington;United States;73;72,1;94,5;87,8;80,2
42;40=;RMIT University;Australia;77,8;75,2;86,3;81,2;79,9
43;51-100;Yonsei University;South Korea;82,1;81,2;82,3;71;79,8
44;51-100;University of Helsinki;Finland;76,9;65,6;88,5;85;79,7
45=;51-100;The University of Edinburgh;United Kingdom;79,3;83,5;82,4;75,2;79,5
45=;39;University of North Carolina, Chapel Hill;United States;77,3;66,8;88,1;82,9;79,5
47=;36=;Aarhus University;Denmark;79,3;69,4;84,9;78,8;79,3
47=;47;University of British Columbia;Canada;75,6;87;84,5;79,4;79,3
49;51-100;Peking University;China (Mainland);80,4;84,9;82,9;69;79,1
50;43;University of Missouri, Columbia;United States;72,4;61,6;94,8;88,2;79
51-100;51-100;Boston University;United States;64,4;77;93,3;84;
51-100;50;City University of Hong Kong;Hong Kong SAR;75,5;62,8;90,4;78,1;
51-100;51-100;City, University of London;United Kingdom;70,6;62,3;95,4;84;
51-100;51-100;Complutense University of Madrid;Spain;74,6;80,5;75,6;73,6;
51-100;51-100;Erasmus University Rotterdam ;Netherlands;64,6;77,5;94,6;83,5;
51-100;51-100;Fudan University;China (Mainland);79,8;83,7;76;68;
51-100;51-100;George Washington University;United States;64,2;69,2;95,7;82,9;
51-100;101-150;Georgetown University;United States;67;72,4;91,2;77,4;
51-100;51-100;Ghent University;Belgium;67,1;63,6;87,8;86;
51-100;51-100;Hong Kong Baptist University;Hong Kong SAR;78;49,7;86,8;79,4;
51-100;46;Indiana University Bloomington;United States;73,4;61,6;89,7;88,2;
51-100;51-100;Korea University;South Korea;79,1;78,7;82,8;71;
51-100;51-100;KU Leuven;Belgium;72,8;73;86,6;80,6;
