2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
1;1;University of Sussex;United Kingdom;100;79,6;98,4;98,7;97,5
2;2;SOAS University of London ;United Kingdom;97,4;79,6;92,7;85,8;93,2
3;4;The London School of Economics and Political Science (LSE);United Kingdom;88,8;100;98,9;100;93,1
4;3;University of Oxford;United Kingdom;90;95,1;94;96,4;92,1
5;6;Harvard University;United States;90,5;96,2;93,4;84,2;90,6
6;5;University of Cambridge;United Kingdom;88,8;94,3;91,9;91,1;90,2
7;7;The University of Manchester;United Kingdom;86,9;68,3;96;95,4;87,7
8=;8;University of California, Berkeley (UCB);United States;85,6;84,5;94,6;83,4;86,5
8=;12;Wageningen University & Research;Netherlands;84,1;76,9;95,6;93,4;86,5
10;10;Stanford University;United States;85;88,9;93,6;79,9;85,9
11;14=;University of East Anglia (UEA);United Kingdom;84,2;61,9;99;88,6;84,9
12;9;University of Cape Town;South Africa;85;73,7;89,8;85,8;84,7
13;11;Erasmus University Rotterdam ;Netherlands;78,8;83,6;97;93,4;84,2
14;14=;The Australian National University;Australia;82,2;87,9;88,3;85;84,1
15;13;The University of Melbourne;Australia;77,2;92,2;91,5;91,7;83
16;16;Columbia University;United States;80,3;81,1;91,6;81,7;82,3
17;17;Princeton University;United States;80;81,1;89,1;78,9;81,3
18;18=;University of Chicago;United States;81,7;72,8;87,6;74,7;80,6
19;27;University of California, Los Angeles (UCLA);United States;79,3;70,9;94,5;76,9;80,4
20;42;University of Leeds;United Kingdom;74,3;73,7;95,6;89,8;79,8
21;31;University of Toronto;Canada;76,2;72;92,9;84,2;79,5
22=;21;University of Amsterdam;Netherlands;73,3;79,8;96,2;85,8;79,3
22=;18=;University of Göttingen;Germany;75;65,9;95,3;89,2;79,3
24;20;Cornell University;United States;75,9;60,9;96,6;86,5;79,1
25;34=;University of British Columbia;Canada;74,5;72,2;95,9;82,6;78,7
26;23;Leiden University;Netherlands;74,2;79,2;92,6;79,9;78,3
27;25;The University of Tokyo;Japan;78,4;83,2;79,1;69,5;77,7
28;29;Lund University;Sweden;77,7;54;91,8;78,9;77,6
29;45;Massey University;New Zealand;75,4;61,5;93,9;77,9;77,2
30=;26;The University of Edinburgh;United Kingdom;72,3;79;89,8;82,6;77,1
30=;30;Universidad Nacional Autónoma de México (UNAM);Mexico;77,2;87,7;79;68;77,1
32;22;University of Witwatersrand;South Africa;74,4;63,4;87,5;85,8;77
33;39;Makerere University;Uganda;77;60,8;86,9;75,8;76,7
34;33;The University of Sydney;Australia;69,9;82,2;94;80,8;76,4
35;37=;Boston University;United States;70,3;71,8;95,1;81,7;75,9
