2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
1;1;Massachusetts Institute of Technology (MIT) ;United States;100;98,4;100;98,9;99,6
2;2;Stanford University;United States;99,4;97;98;99,7;98,9
3;4;Harvard University;United States;97,8;100;94,7;98,9;97,6
4=;6=;University of California, Berkeley (UCB);United States;95,5;89,9;98,3;97,9;96
4=;5;University of Cambridge;United Kingdom;96;95,7;92,1;100;96
6;6=;University of Oxford;United Kingdom;95,6;96,1;91,9;100;95,8
7;3;ETH Zurich - Swiss Federal Institute of Technology;Switzerland;97,3;89,2;93,9;91,6;94,7
8;8;Imperial College London;United Kingdom;95,1;85,4;89,5;93;92,6
9;9;Georgia Institute of Technology;United States;96,4;81,8;89,6;89,1;92,1
10;10;Columbia University;United States;86,6;85;97;95,1;90,2
11;13;Carnegie Mellon University;United States;88,3;80,7;93,5;91,6;89,2
12;11;Princeton University;United States;86,1;86,6;95,8;91,1;89,1
13;15=;University of Chicago;United States;85,8;84,8;91,8;92,5;88,2
14;12;National University of Singapore (NUS);Singapore;86,4;95,3;87,6;89,1;88,1
15;15=;University of Michigan-Ann Arbor;United States;84,8;80,1;88,6;94,3;87
16;14;The University of Warwick;United Kingdom;83,3;77,4;89,3;95,1;86,3
17;21;University of Toronto;Canada;83;83,8;90,6;91,1;86,2
18=;20;Cornell University;United States;83,9;86,6;88,6;88,6;86,1
18=;19;University of Pennsylvania;United States;80;81,5;94,3;95,5;86,1
20;22=;Tsinghua University;China (Mainland);87,7;76,3;85,9;85,9;85,8
21;17;University of California, Los Angeles (UCLA);United States;80,8;86,9;91,4;88,6;85,1
22;18;Université PSL;France;77,4;82,8;92,6;96,3;84,8
23;24;Institut Polytechnique de Paris;France;79,4;86,8;88,6;93;84,7
24;26;University of Washington;United States;80,6;74,8;91,1;89,7;83,9
25;25;Duke University;United States;80,6;77,8;89,4;88,1;83,6
26;30;Sorbonne University;France;79;80,5;85,9;93,4;83,4
27;28;The London School of Economics and Political Science (LSE);United Kingdom;79,8;90,5;88,1;80,1;82,6
28;32;Technical University of Munich;Germany;81,8;73,4;84,7;85,9;82,4
29=;43=;Purdue University;United States;80,4;73,3;88,3;85,3;82,3
29=;35;Yale University;United States;77,1;88,5;88,7;85,9;82,3
